adc_bits,MRAM,ReRAM,FeFET
1,4.169360839983524,7.314501066643243,7.341553125334906
2,9.66313516716686,10.913947392258708,10.878272861060815
3,14.228962919117372,14.828438947349003,14.183687884405163
4,17.101747914231375,18.848191904127663,19.10159500566458
5,19.394885115595745,22.26698913594447,22.441355087147524
6,20.540905372277003,24.538742418200286,24.89075215921222
7,20.762954373501813,26.01840584644279,26.67546609762968
8,20.882712457098663,26.386937421725968,27.092863239176243
9,20.87519268419004,26.662481576319497,27.19280680893145
10,20.899432765316025,26.624386476918154,27.242476268714757
11,21.015522285522458,26.715279491891394,27.145145277692553
12,21.023951116861262,26.758354838063024,27.313090744664148
13,20.989749993305182,26.73130529872022,27.349551035296056
14,20.93997277121716,26.67048001987904,27.318206378130828
15,21.044636025736523,26.788825320866543,27.268816968473434
16,20.929380756183924,26.599127893609623,27.256166334655315
